Series Name,Series Code,Country Name,Country Code,Scale (Precision),2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3],2020Q4 [YR2020Q4],2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],,2020Q2-1,2020Q3-2,2020Q4-3,2021Q1-2020Q4,2021Q2-2021Q1,
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Argentina,ARG,Millions (0),283130,276815,278489,274674,271116,268761,271443,269482,269158,,-3558,-2355,2682,-1961,-324,-269158
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Armenia,ARM,Millions (0),11465,11666,12341,12023,12547,12634,12901,13138,14045,,524,87,267,237,907,-14045
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Australia,AUS,Millions (0),1486813,1482331,1523544,1440055,1488990,1548686,1656499,1609863,1616941,,48935,59696,107813,-46636,7078,-1616941
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Austria,AUT,Millions (0),695152,690221,686438,678375,715119,745462,767538,736983,741409,,36744,30343,22076,-30555,4426,-741409
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belarus,BLR,Millions (0),40071,39673,40723,39469,41116,40561,42048,41055,42275,,1647,-555,1487,-993,1220,-42275
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Belgium,BEL,Millions (0),1356852,1348601,1358160,1363701,1395302,1430176,1463447,1403956,1442009,,31601,34874,33271,-59491,38053,-1442009
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Brazil,BRA,Millions (0),697401,672885,675789,639821,619416,621561,639308,630750,649598,,-20405,2145,17747,-8558,18848,-649598
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Bulgaria,BGR,Millions (0),39760,38871,40103,39517,40341,46506,48626,45588,47038,,824,6165,2120,-3038,1450,-47038
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Canada,CAN,Millions (0),2116318,2136888,2221818,2118021,2220623,2267169,2449444,2410527,2480436,,102602,46546,182275,-38917,69909,-2480436
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Chile,CHL,Millions (0),192837,194353,197234,195805,206126,207394,208981,209510,213283,,10321,1268,1587,529,3773,-213283
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,China,CHN,Millions (0),2015519,2049519,2070810,2107903,2145718,2308320,2400807,2526638,2679823,,37815,162602,92487,125831,153185,-2679823
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Colombia,COL,Millions (0),134956,136141,138088,140543,146843,147733,154502,153510,157492,,6300,890,6769,-992,3982,-157492
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Costa Rica,CRI,Millions (0),28973,29178,30890,29956,30764,31155,31823,,,,808,391,668,-31823,0,0
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Croatia,HRV,Millions (0),50656,46549,45257,44117,46333,48051,49186,51055,52526,,2216,1718,1135,1869,1471,-52526
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Cyprus,CYP,Millions (0),222163,208998,217980,210825,215871,224192,233673,225692,229684,,5046,8321,9481,-7981,3992,-229684
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Czech Republic,CZE,Millions (0),194924,187570,193773,179433,183138,187872,201110,191816,195150,,3705,4734,13238,-9294,3334,-195150
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Denmark,DNK,Millions (0),518583,504214,502492,508994,555185,582557,606429,582021,599350,,46191,27372,23872,-24408,17329,-599350
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ecuador,ECU,Millions (0),49839,51584,52717,52576,52715,52358,57125,56843,56001,,139,-357,4767,-282,-842,-56001
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,"Egypt, Arab Rep.",EGY,Millions (0),108699,109363,112671,111292,123490,125338,129196,134841,137860,,12198,1848,3858,5645,3019,-137860
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,El Salvador,SLV,Millions (0),17047,17921,17410,17408,18011,18468,18349,18017,18451,,603,457,-119,-332,434,-18451
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Estonia,EST,Millions (0),25237,23907,23310,23315,26966,28533,30005,30447,31201,,3651,1567,1472,442,754,-31201
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Euro area,EMU,Millions (0),17200918,16836148,16628036,17028160,17150939,17752993,18228159,18156939,18288213,,122779,602054,475166,-71220,131274,-18288213
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Finland,FIN,Millions (0),693681,639931,604906,637956,648584,664618,652368,690451,697000,,10628,16034,-12250,38083,6549,-697000
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,France,FRA,Millions (0),6483566,6459451,6268363,6750715,6779288,7117103,7394751,7378584,7511554,,28573,337815,277648,-16167,132970,-7511554
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Georgia,GEO,Millions (0),18233,17900,18627,18327,18881,19949,20607,20620,20630,,554,1068,658,13,10,-20630
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Germany,DEU,Millions (0),5857007,5661854,5620756,5729165,6050810,6487448,6749364,6676968,6837206,,321645,436638,261916,-72396,160238,-6837206
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Greece,GRC,Millions (0),482113,484992,503841,503246,531828,571227,606822,587733,625648,,28582,39399,35595,-19089,37915,-625648
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,"Hong Kong SAR, China",HKG,Millions (0),1633428,1646814,1675364,1687423,1676451,1718084,1783099,1776157,1832468,,-10972,41633,65015,-6942,56311,-1832468
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Hungary,HUN,Millions (0),165495,157218,158325,153841,228952,239342,251671,255927,263522,,75111,10390,12329,4256,7595,-263522
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Iceland,ISL,Millions (0),19745,19108,19244,18400,19118,19148,19307,19966,20262,,718,30,159,659,296,-20262
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,India,IND,Millions (0),556939,557549,563941,558183,555242,556938,563942,569680,571299,,-2941,1696,7004,5738,1619,-571299
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Indonesia,IDN,Millions (0),389460,394098,403660,388867,408347,449668,458319,456183,457025,,19480,41321,8651,-2136,842,-457025
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ireland,IRL,Millions (0),2716324,2763383,2852044,2917148,2877587,,,,,,-39561,-2877587,0,0,0,0
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Israel,ISR,Millions (0),98426,98661,104989,105320,114421,122202,130409,140564,148114,,9101,7781,8207,10155,7550,-148114
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Italy,ITA,Millions (0),2480050,2461012,2506336,2458050,2554161,2689240,2843543,2741456,2807944,,96111,135079,154303,-102087,66488,-2807944
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Japan,JPN,Millions (0),4256706,4339362,4243817,4736302,4670789,4779341,4821479,4687541,4597563,,-65513,108552,42138,-133938,-89978,-4597563
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Jordan,JOR,Millions (0),32237,32548,32103,32228,32792,35756,35866,35416,36212,,564,2964,110,-450,796,-36212
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Kazakhstan,KAZ,Millions (0),159663,159545,158561,154816,159996,161743,164156,164146,166753,,5180,1747,2413,-10,2607,-166753
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,"Korea, Rep.",KOR,Millions (0),464013,462126,470736,489246,506726,514321,544917,565897,604167,,17480,7595,30596,20980,38270,-604167
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Kyrgyz Republic,KGZ,Millions (0),8441,8338,8420,8271,8614,8702,8736,8696,8743,,343,88,34,-40,47,-8743
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Latvia,LVA,Millions (0),40455,39446,40220,38425,41167,43686,45127,42615,43091,,2742,2519,1441,-2512,476,-43091
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Lithuania,LTU,Millions (0),40445,38237,38495,35317,39866,43910,45963,43329,46028,,4549,4044,2053,-2634,2699,-46028
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Luxembourg,LUX,Millions (0),4297418,4216129,4090583,4045980,4032104,3953743,4071716,3989932,4044619,,-13876,-78361,117973,-81784,54687,-4044619
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Malaysia,MYS,Millions (0),225265,219884,231013,226823,233662,229966,238760,249977,245692,,6839,-3696,8794,11217,-4285,-245692
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Malta,MLT,Millions (0),99965,96492,98424,96517,99420,104352,108712,105243,108714,,2903,4932,4360,-3469,3471,-108714
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Mauritius,MUS,Millions (0),228294,224480,220832,221143,222548,223811,224204,225423,226323,,1405,1263,393,1219,900,-226323
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Mexico,MEX,Millions (0),458525,449787,464252,441349,446610,452063,462839,458232,459343,,5261,5453,10776,-4607,1111,-459343
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Moldova,MDA,Millions (0),7138,7154,7416,7398,7790,8057,8438,8335,8505,,392,267,381,-103,170,-8505
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Mongolia,MNG,Millions (0),29715,29817,30702,30461,30856,31446,32362,32487,32958,,395,590,916,125,471,-32958
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Morocco,MAR,Millions (0),53571,52626,54665,53148,58238,61710,65498,63718,64719,,5090,3472,3788,-1780,1001,-64719
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Netherlands,NLD,Millions (0),4301102,4189284,4177750,4165772,4243024,4387450,4357069,4185179,4228652,,77252,144426,-30381,-171890,43473,-4228652
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,New Zealand,NZL,Millions (0),191873,185322,193684,183816,191041,191443,210328,202212,204322,,7225,402,18885,-8116,2110,-204322
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,North Macedonia,MKD,Millions (0),9473,9370,9124,9153,9897,10612,10483,11513,12077,,744,715,-129,1030,564,-12077
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Norway,NOR,Millions (0),665981,634250,669681,641257,655550,665526,721103,749350,736822,,14293,9976,55577,28247,-12528,-736822
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Peru,PER,Millions (0),66353,66642,64207,65177,67027,69299,73483,79013,80305,,1850,2272,4184,5530,1292,-80305
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Philippines,PHL,Millions (0),81259,82674,83618,81421,87453,91979,98488,97047,101186,,6032,4526,6509,-1441,4139,-101186
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Poland,POL,Millions (0),359601,346253,354980,333154,336702,353328,375353,361311,366510,,3548,16626,22025,-14042,5199,-366510
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Portugal,PRT,Millions (0),467174,451604,461466,450024,464497,485441,503773,479376,494288,,14473,20944,18332,-24397,14912,-494288
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Romania,ROU,Millions (0),120231,117206,123330,119866,127626,138279,155604,145206,153408,,7760,10653,17325,-10398,8202,-153408
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Russian Federation,RUS,Millions (0),483678,474913,491418,459091,483455,462752,467356,462229,472250,,24364,-20703,4604,-5127,10021,-472250
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Saudi Arabia,SAU,Millions (0),169263,180180,183845,212097,223795,222445,237908,246220,255878,,11698,-1350,15463,8312,9658,-255878
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Seychelles,SYC,Millions (0),4765,4808,4886,4974,5014,5054,5050,5080,,,40,40,-4,30,-5080,0
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Singapore,SGP,Millions (0),1578307,1560311,1579855,1674352,1621083,1615068,1672097,1658223,1670314,,-53269,-6015,57029,-13874,12091,-1670314
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Slovak Republic,SVK,Millions (0),117853,115001,118538,115843,126561,130302,136116,127896,131649,,10718,3741,5814,-8220,3753,-131649
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Slovenia,SVN,Millions (0),49583,48624,49741,50516,53955,55917,58645,58880,59433,,3439,1962,2728,235,553,-59433
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,South Africa,ZAF,Millions (0),180568,177676,185357,155624,156341,156862,170408,164741,170603,,717,521,13546,-5667,5862,-170603
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Spain,ESP,Millions (0),2378582,2301287,2370514,2364655,2478514,2586711,2737423,2654924,2729969,,113859,108197,150712,-82499,75045,-2729969
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Sri Lanka,LKA,Millions (0),55624,55316,55916,49808,50035,50553,49212,48786,50438,,227,518,-1341,-426,1652,-50438
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Sweden,SWE,Millions (0),921544,899133,901008,888734,912868,957832,1000825,1001563,1095704,,24134,44964,42993,738,94141,-1095704
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Switzerland,CHE,Millions (0),1907626,1906332,1984984,2052634,2112962,2173879,2272295,2248951,2319654,,60328,60917,98416,-23344,70703,-2319654
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Thailand,THA,Millions (0),167170,167724,171885,165904,171894,172156,190713,186543,187783,,5990,262,18557,-4170,1240,-187783
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Tunisia,TUN,Millions (0),34637,35146,40009,38054,38106,39164,41142,40351,39899,,52,1058,1978,-791,-452,-39899
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Turkey,TUR,Millions (0),426133,418037,416413,412596,409104,417536,433099,430689,446439,,-3492,8432,15563,-2410,15750,-446439
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Ukraine,UKR,Millions (0),115511,118433,121739,119909,122234,122150,125682,123092,125281,,2325,-84,3532,-2590,2189,-125281
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United Kingdom,GBR,Millions (0),8495971,8661292,8840646,9111015,8977117,9232424,9755352,9729579,9832983,,-133898,255307,522928,-25773,103404,-9832983
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,United States,USA,Millions (0),19722142,20529311,20600666,21430094,20263253,21208682,21417490,21764799,22595448,,-1166841,945429,208808,347309,830649,-22595448
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Uruguay,URY,Millions (0),41694,42621,44581,42535,44959,47103,46439,47189,48279,,2424,2144,-664,750,1090,-48279
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Uzbekistan,UZB,Millions (0),22678,23270,26331,27938,29803,31590,36329,36771,38859,,1865,1787,4739,442,2088,-38859
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,West Bank and Gaza,PSE,Millions (0),1598,1841,1816,2052,1853,1863,2044,1913,2055,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: Quarterly External Debt Statistics SDDS,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/29/2021,,,,,,,,,,,,,,,,,,,,
